Date/Time UTC,Name,MMSI,Max Speed kn,Mean Speed kn,LOA ft,Beam ft,Class,AIS Type,Course,Heading,Course Behavior,Yaw deg,Effective Beam ft,WDIR degT,WSPD mph,GST mph,Buoy Source,Location,Latitude,Longitude,Transit,% Channel Occupied
2021-12-08 03:04:30,SAFMARINE MAFADI,369390000,18.1,17.4,958.0,105.0,Panamax,71,121,120,Outbound,1,122,50,4.47,6.71,41004,Nearshore,32.6985,-79.75983,One-way Transit,12.2
2021-12-08 07:12:42,MAERSK GATESHEAD,563076200,17.9,17.4,958.0,105.0,Panamax,71,119,118,Outbound,1,122,120,4.47,8.95,41004,Nearshore,32.71482,-79.79474,One-way Transit,12.2
2021-12-08 16:38:25,APL SENTOSA,215560000,17.3,16.7,1210.0,167.0,Post-Panamax,71,120,119,Outbound,1,188,240,29.08,33.56,41004,Offshore,32.68963,-79.74034,One-way Transit,23.5
2021-12-08 10:26:59,CMA CGM BUTTERFLY,218843000,16.9,16.4,1148.0,141.0,Post-Panamax,70,299,300,Inbound,1,161,200,11.18,15.66,41004,Offshore,32.67933,-79.72013,One-way Transit,20.12
2021-12-08 20:19:09,CCNI ANGOL,636092896,16.8,15.6,984.0,161.0,Post-Panamax,79,300,299,Inbound,1,178,250,26.84,31.32,41004,Offshore,32.67781,-79.71583,One-way Transit,22.25
2021-12-08 01:46:54,MORNING LUCY,372802000,16.6,16.2,758.0,105.0,Panamax,70,119,116,Outbound,3,145,60,8.95,13.42,41004,Nearshore,32.69898,-79.761,One-way Transit,14.5
2021-12-08 06:17:37,SEASPAN SANTOS,477581400,16.3,16.0,853.0,105.0,Panamax,70,301,302,Inbound,1,120,80,4.47,6.71,41004,Offshore,32.68798,-79.73729,One-way Transit,12.0
2021-12-08 08:52:51,CAP BEATRICE,636017971,14.1,13.8,686.0,98.0,Panamax,73,299,301,Inbound,2,122,200,4.47,6.71,41004,Offshore,32.68405,-79.72872,One-way Transit,12.2
2021-12-07 14:58:37,MORNING LUCY,372802000,17.7,17.4,758.0,105.0,Panamax,70,299,299,Inbound,0,105,20,17.9,24.61,41004,Nearshore,32.72108,-79.80581,One-way Transit,10.5
2021-12-07 08:11:40,SAFMARINE MAFADI,369390000,17.5,16.6,958.0,105.0,Panamax,71,300,299,Inbound,1,122,260,11.18,15.66,41004,Offshore,32.67533,-79.71133,One-way Transit,12.2
2021-12-07 11:50:02,MAERSK GATESHEAD,563076200,17.3,15.3,958.0,105.0,Panamax,71,298,297,Inbound,1,122,320,11.18,15.66,41004,Offshore,32.68795,-79.73754,One-way Transit,12.2
2021-12-07 13:03:18,NAVARINO,477252600,16.2,15.3,1099.0,141.0,Post-Panamax,71,119,121,Outbound,2,179,340,8.95,13.42,41004,Nearshore,32.69558,-79.75351,One-way Transit,22.38
2021-12-06 07:40:40,NAVARINO,477252600,17.0,16.3,1099.0,141.0,Post-Panamax,71,301,302,Inbound,1,160,340,2.24,2.24,41004,Offshore,32.67605,-79.71101,One-way Transit,20.0
2021-12-06 08:26:38,SEASPAN EMERALD,477207700,16.8,15.2,964.0,105.0,Panamax,79,119,118,Outbound,1,122,320,2.24,4.47,41004,Nearshore,32.69639,-79.75496,One-way Transit,12.2
2021-12-06 15:59:53,OOCL CHONGQING,477832400,15.6,14.1,1200.0,157.0,Post-Panamax,70,119,119,Outbound,0,157,210,6.71,6.71,41004,Offshore,32.65631,-79.67091,One-way Transit,19.62
2021-12-06 23:13:49,BOMAR JULIANA,636016851,15.3,15.0,689.0,98.0,Panamax,9,298,298,Inbound,0,98,230,15.66,20.13,41004,Nearshore,32.69741,-79.75718,One-way Transit,9.8
2021-12-06 02:28:38,MSC ZLATA R.,636016436,14.9,14.3,918.0,105.0,Panamax,71,299,300,Inbound,1,121,280,2.24,4.47,41004,Nearshore,32.7215,-79.80816,One-way Transit,12.1
2021-12-06 16:36:48,ESSEN EXPRESS,218474000,14.7,14.6,1200.0,157.0,Post-Panamax,72,119,120,Outbound,1,178,220,8.95,11.18,41004,Nearshore,32.69429,-79.75094,One-way Transit,22.25
2021-12-06 15:34:45,ZIM ANTWERP,636014220,14.1,10.6,1145.0,151.0,Post-Panamax,77,299,298,Inbound,1,171,200,4.47,6.71,41004,Nearshore,32.70136,-79.76421,Two-way Transit,42.75
2021-12-06 15:35:48,APL SENTOSA,215560000,12.4,9.2,1210.0,167.0,Post-Panamax,71,302,297,Inbound,5,272,200,4.47,6.71,41004,Nearshore,32.72224,-79.80859,One-way Transit,34.0
2021-12-05 20:27:30,BUXCLIFF,255805678,15.2,13.3,984.0,131.0,Post-Panamax,79,120,117,Outbound,3,182,310,2.24,4.47,41004,Offshore,32.64518,-79.65017,One-way Transit,22.75
2021-12-05 05:34:58,SEASPAN EMERALD,477207700,15.1,12.8,964.0,105.0,Panamax,79,300,299,Inbound,1,122,260,8.95,11.18,41004,Offshore,32.67505,-79.70992,One-way Transit,12.2
2021-12-05 06:35:57,MEHUIN,636092682,15.0,13.1,1004.0,131.0,Post-Panamax,70,120,120,Outbound,0,131,280,8.95,11.18,41004,Nearshore,32.69884,-79.76072,One-way Transit,16.38
2021-12-05 08:40:21,SPIRIT OF HAMBURG,232013520,14.7,13.7,833.0,105.0,Panamax,72,118,119,Outbound,1,120,280,8.95,11.18,41004,Nearshore,32.70904,-79.78217,One-way Transit,12.0
2021-12-05 03:48:40,HYUNDAI VICTORY,441754000,14.3,13.7,1200.0,157.0,Post-Panamax,70,120,120,Outbound,0,157,230,13.42,15.66,41004,Offshore,32.66054,-79.68012,One-way Transit,19.62
2021-12-05 07:32:55,ESSEN EXPRESS,218474000,14.2,13.9,1200.0,157.0,Post-Panamax,72,300,299,Inbound,1,178,280,8.95,11.18,41004,Offshore,32.67409,-79.70848,One-way Transit,22.25
2021-12-05 02:18:58,OOCL CHONGQING,477832400,12.3,10.9,1200.0,157.0,Post-Panamax,70,300,297,Inbound,3,220,240,15.66,17.9,41004,Offshore,32.65753,-79.67462,One-way Transit,27.5
2021-12-05 12:49:55,ZAGORI,314479000,11.9,11.7,656.0,105.0,Panamax,70,297,297,Inbound,0,105,270,4.47,4.47,41004,Nearshore,32.72203,-79.80853,One-way Transit,10.5
2021-12-04 23:18:49,BUXCLIFF,255805678,16.3,14.7,984.0,131.0,Post-Panamax,79,299,298,Inbound,1,148,230,13.42,17.9,41004,Offshore,32.65092,-79.65954,One-way Transit,18.5
2021-12-04 02:38:33,MEHUIN,636092682,15.9,14.7,1004.0,131.0,Post-Panamax,70,305,304,Inbound,1,149,200,8.95,11.18,41004,Offshore,32.67916,-79.71825,One-way Transit,18.62
2021-12-04 14:08:20,MAERSK KINLOSS,338241000,15.7,14.1,984.0,131.0,Post-Panamax,71,120,121,Outbound,1,148,260,11.18,13.42,41004,Nearshore,32.70215,-79.76825,One-way Transit,18.5
2021-12-04 08:01:46,AL QIBLA,256576000,15.5,14.3,1200.0,157.0,Post-Panamax,71,123,121,Outbound,2,199,240,13.42,17.9,41004,Offshore,32.68061,-79.72377,One-way Transit,24.88
2021-12-04 07:37:33,SPIRIT OF HAMBURG,232013520,15.5,13.6,833.0,105.0,Panamax,72,299,300,Inbound,1,120,230,13.42,15.66,41004,Offshore,32.65943,-79.67789,Two-way Transit,24.0
2021-12-04 03:50:34,SPIRIT OF AUCKLAND,232013516,13.7,13.6,833.0,105.0,Panamax,72,119,119,Outbound,0,105,210,8.95,11.18,41004,Nearshore,32.71928,-79.80177,One-way Transit,10.5
2021-12-03 11:48:42,DUBLIN EXPRESS,310825000,17.2,13.5,922.0,105.0,Panamax,70,120,120,Outbound,0,105,310,17.9,20.13,41004,Nearshore,32.69469,-79.75111,One-way Transit,10.5
2021-12-03 23:32:21,TAMINA,636092392,16.5,14.8,905.0,131.0,Panamax,79,119,120,Outbound,1,147,160,4.47,6.71,41004,Offshore,32.67533,-79.71124,One-way Transit,14.7
2021-12-03 10:22:31,SPIRIT OF AUCKLAND,232013516,15.9,14.1,833.0,105.0,Panamax,72,298,296,Inbound,2,134,290,17.9,22.37,41004,Nearshore,32.69796,-79.75834,One-way Transit,13.4
2021-12-03 20:22:37,MAERSK KINLOSS,338241000,15.0,14.0,984.0,131.0,Post-Panamax,71,300,298,Inbound,2,165,290,4.47,4.47,41004,Offshore,32.67509,-79.70995,One-way Transit,20.62
2021-12-03 14:23:32,MSC MARINA,354972000,14.7,14.0,997.0,131.0,Post-Panamax,72,120,118,Outbound,2,166,320,8.95,11.18,41004,Nearshore,32.69804,-79.75934,One-way Transit,20.75
2021-12-03 22:12:49,HYUNDAI VICTORY,441754000,14.0,13.7,1200.0,157.0,Post-Panamax,70,299,298,Inbound,1,178,200,2.24,4.47,41004,Offshore,32.64511,-79.64803,One-way Transit,22.25
2021-12-02 18:18:11,MSC UBERTY,636013689,16.3,13.9,1092.0,141.0,Post-Panamax,71,122,121,Outbound,1,160,260,11.18,15.66,41004,Offshore,32.68406,-79.73065,One-way Transit,20.0
2021-12-02 16:29:52,DUBLIN EXPRESS,310825000,15.8,14.4,922.0,105.0,Panamax,70,300,300,Inbound,0,105,270,11.18,13.42,41004,Offshore,32.64501,-79.64692,One-way Transit,10.5
2021-12-02 08:51:23,OLUF MAERSK,220207000,15.2,13.4,777.0,105.0,Panamax,71,120,120,Outbound,0,105,190,4.47,6.71,41004,Nearshore,32.69924,-79.76132,One-way Transit,10.5
2021-12-02 12:47:48,MSC MARINA,354972000,14.5,12.9,997.0,131.0,Post-Panamax,72,300,299,Inbound,1,148,290,8.95,13.42,41004,Offshore,32.6892,-79.73891,One-way Transit,18.5
2021-12-02 21:41:36,TAMINA,636092392,14.2,13.6,905.0,131.0,Panamax,79,300,299,Inbound,1,147,230,13.42,15.66,41004,Offshore,32.65148,-79.66128,One-way Transit,14.7
2021-12-02 03:52:34,SEASPAN DALIAN,477014600,13.9,13.3,853.0,105.0,Panamax,70,122,122,Outbound,0,105,290,6.71,11.18,41004,Nearshore,32.70169,-79.76774,Two-way Transit,21.0
2021-12-02 23:24:01,ATHENIAN,636018028,13.6,11.9,1145.0,148.0,Post-Panamax,71,119,121,Outbound,2,188,230,17.9,22.37,41004,Nearshore,32.69134,-79.7447,One-way Transit,23.5
2021-12-02 07:46:54,AL QIBLA,256576000,13.5,11.7,1200.0,157.0,Post-Panamax,71,299,297,Inbound,2,199,300,6.71,8.95,41004,Offshore,32.6612,-79.68058,Two-way Transit,49.75
2021-12-02 05:14:45,IKARIA,636014573,12.9,12.8,915.0,131.0,Panamax,70,120,118,Outbound,2,163,320,8.95,11.18,41004,Nearshore,32.70825,-79.77955,One-way Transit,16.3
2021-12-02 08:19:31,STAR LOUISIANA,538006859,12.9,12.4,669.0,105.0,Panamax,70,120,120,Outbound,0,105,210,4.47,6.71,41004,Offshore,32.67991,-79.72018,One-way Transit,10.5
2021-12-01 18:26:30,TIANJIN,636014224,18.1,16.3,1145.0,151.0,Post-Panamax,71,119,119,Outbound,0,151,220,4.47,6.71,41004,Offshore,32.6764,-79.71346,One-way Transit,18.88
2021-12-01 13:00:52,SEASPAN DALIAN,477014600,15.8,13.6,853.0,105.0,Panamax,70,300,299,Inbound,1,120,300,8.95,13.42,41004,Offshore,32.67742,-79.71517,One-way Transit,12.0
2021-12-01 16:27:55,OLUF MAERSK,220207000,15.6,14.3,777.0,105.0,Panamax,71,300,299,Inbound,1,119,280,4.47,6.71,41004,Offshore,32.67557,-79.71062,One-way Transit,11.9
2021-12-01 09:40:36,MAERSK KARLSKRONA,636018800,15.2,13.2,1043.0,141.0,Post-Panamax,71,120,124,Outbound,4,213,280,11.18,15.66,41004,Offshore,32.67329,-79.70736,Two-way Transit,53.25
2021-12-01 10:46:43,YM WIDTH,477129300,14.4,13.9,1207.0,167.0,Post-Panamax,74,118,118,Outbound,0,167,290,11.18,13.42,41004,Nearshore,32.69754,-79.75864,One-way Transit,20.88
2021-12-01 22:10:47,AS PETRONIA,255806064,14.2,12.9,689.0,98.0,Panamax,74,120,120,Outbound,0,98,210,6.71,11.18,41004,Nearshore,32.70024,-79.7639,One-way Transit,9.8
2021-12-01 17:11:38,DELAWARE EXPRESS,367422000,13.6,12.9,1004.0,131.0,Post-Panamax,70,120,119,Outbound,1,149,230,4.47,8.95,41004,Nearshore,32.70329,-79.76889,One-way Transit,18.62
2021-12-01 09:34:06,ATHENIAN,636018028,13.2,12.7,1145.0,148.0,Post-Panamax,71,298,297,Inbound,1,168,270,11.18,15.66,41004,Offshore,32.64476,-79.64779,Two-way Transit,42.0
2021-12-01 08:21:40,IKARIA,636014573,12.6,11.1,915.0,131.0,Panamax,70,300,296,Inbound,4,195,280,13.42,15.66,41004,Offshore,32.65844,-79.6753,One-way Transit,19.5
2021-11-30 05:09:30,MAERSK KARLSKRONA,636018800,16.5,14.0,1043.0,141.0,Post-Panamax,71,302,304,Inbound,2,177,350,8.95,13.42,41004,Nearshore,32.6951,-79.75258,One-way Transit,22.12
2021-11-30 06:30:21,MSC KUMSAL,636020979,15.9,13.7,1092.0,138.0,Post-Panamax,71,121,120,Outbound,1,157,340,8.95,13.42,41004,Offshore,32.67856,-79.71768,One-way Transit,19.62
2021-11-30 01:56:49,MEDITERRANEANHIGHWAY,354203000,14.3,14.0,656.0,105.0,Panamax,70,119,117,Outbound,2,128,20,13.42,17.9,41004,Nearshore,32.71158,-79.7859,One-way Transit,12.8
2021-11-30 08:57:24,OOCL BERLIN,477203100,14.0,13.7,1200.0,157.0,Post-Panamax,70,115,114,Outbound,1,178,360,4.47,8.95,41004,Nearshore,32.72289,-79.81071,One-way Transit,22.25
2021-11-30 04:35:44,STAR LOUISIANA,538006859,13.9,13.8,669.0,105.0,Panamax,70,298,300,Inbound,2,128,360,6.71,13.42,41004,Nearshore,32.69468,-79.75264,One-way Transit,12.8
2021-11-30 08:46:39,TIANJIN,636014224,12.2,11.5,1145.0,151.0,Post-Panamax,71,299,299,Inbound,0,151,300,6.71,11.18,41004,Nearshore,32.71728,-79.79783,One-way Transit,18.88
2021-11-29 02:50:41,CONTI CORTESIA,255805889,17.3,16.1,1099.0,138.0,Post-Panamax,71,120,121,Outbound,1,157,270,22.37,26.84,41004,Offshore,32.67902,-79.71947,One-way Transit,19.62
2021-11-29 06:37:54,MAERSK IOWA,367606000,16.6,15.3,958.0,105.0,Panamax,78,120,121,Outbound,1,122,300,17.9,24.61,41004,Nearshore,32.69784,-79.75757,One-way Transit,12.2
2021-11-29 06:05:33,MSC KUMSAL,636020979,16.6,14.6,1092.0,138.0,Post-Panamax,71,300,298,Inbound,2,176,290,17.9,22.37,41004,Offshore,32.68952,-79.74069,One-way Transit,22.0
