Date/Time UTC,Name,MMSI,Max Speed kn,Mean Speed kn,LOA ft,Beam ft,Vessel Class,AIS Type,Course,Heading,Course Behavior,Yaw deg,Effective Beam ft,WDIR degT,WSPD mph,GST mph,Location,Latitude,Longitude,Transit,Condition,% Channel Occupied
2020-12-23 17:24:38,MSC BILBAO,255805571,17.3,16.8,1096.0,141.0,Post-Panamax,70,119,115,Outbound,4,217,,,,Nearshore,32.69801,-79.75922,One-way Transit,Non-adverse Condition,27.12
2020-12-23 09:41:58,MAERSK OHIO,367775000,16.8,16.5,958.0,105.0,Panamax,79,300,300,Inbound,0,105,80.0,15.66,22.37,Offshore,32.66581,-79.69036,One-way Transit,Non-adverse Condition,10.5
2020-12-23 15:41:26,NORTHERN JUVENILE,255806037,16.8,16.3,1089.0,138.0,Post-Panamax,71,119,117,Outbound,2,176,,,,Nearshore,32.69538,-79.75435,One-way Transit,Non-adverse Condition,22.0
2020-12-23 14:15:53,HAMBURG BAY,636016199,15.6,14.3,961.0,131.0,Panamax,70,299,303,Inbound,4,198,80.0,15.66,20.13,Offshore,32.68915,-79.7389,One-way Transit,Non-adverse Condition,19.8
2020-12-23 16:44:55,MEHUIN,636092682,15.1,14.8,1004.0,131.0,Post-Panamax,70,300,300,Inbound,0,131,,,,Nearshore,32.72129,-79.80637,One-way Transit,Non-adverse Condition,16.38
2020-12-23 07:52:28,EVER LIVING,563143000,14.6,14.2,1099.0,151.0,Post-Panamax,71,118,117,Outbound,1,170,,,,Nearshore,32.7007,-79.76449,One-way Transit,Non-adverse Condition,21.25
2020-12-23 06:58:41,DUBLIN EXPRESS,218023000,11.5,11.4,922.0,105.0,Panamax,79,300,302,Inbound,2,137,,,,Nearshore,32.72176,-79.80839,One-way Transit,Non-adverse Condition,13.7
2020-12-23 00:00:30,THEMIS LEADER,431747000,11.3,9.7,656.0,105.0,Panamax,70,120,119,Outbound,1,116,360.0,11.18,15.66,Offshore,32.67666,-79.71465,One-way Transit,Non-adverse Condition,11.6
2020-12-22 20:21:58,LANA,636015503,17.6,17.4,853.0,105.0,Panamax,71,300,298,Inbound,2,135,340.0,8.95,13.42,Offshore,32.67502,-79.70884,One-way Transit,Non-adverse Condition,13.5
2020-12-22 06:59:47,MERKUR ARCHIPELAGO,636091883,17.0,16.5,859.0,105.0,Panamax,72,119,122,Outbound,3,150,290.0,29.08,35.79,Offshore,32.67451,-79.70913,One-way Transit,Non-adverse Condition,15.0
2020-12-22 23:40:17,CLEMENTINE MAERSK,220164000,16.7,14.6,1138.0,141.0,Post-Panamax,71,120,118,Outbound,2,181,360.0,13.42,17.9,Offshore,32.67734,-79.71661,One-way Transit,Non-adverse Condition,22.62
2020-12-22 22:19:53,NORTHERN JUVENILE,255806037,16.4,15.3,1089.0,138.0,Post-Panamax,71,298,297,Inbound,1,157,,,,Nearshore,32.6962,-79.75507,One-way Transit,Non-adverse Condition,19.62
2020-12-22 19:27:09,YM WITNESS,477524100,16.4,15.6,1207.0,167.0,Post-Panamax,79,120,121,Outbound,1,188,330.0,11.18,15.66,Offshore,32.65354,-79.6662,One-way Transit,Non-adverse Condition,23.5
2020-12-22 23:46:43,THEMIS LEADER,431747000,16.0,15.2,656.0,105.0,Panamax,70,118,118,Outbound,0,105,,,,Nearshore,32.70445,-79.77245,One-way Transit,Non-adverse Condition,10.5
2020-12-22 07:59:49,EVER LIVING,563143000,15.9,15.1,1099.0,151.0,Post-Panamax,71,300,299,Inbound,1,170,290.0,26.84,33.56,Offshore,32.68843,-79.73831,One-way Transit,Non-adverse Condition,21.25
2020-12-22 17:30:36,MSC BILBAO,255805571,9.9,8.9,1096.0,141.0,Post-Panamax,70,300,297,Inbound,3,198,300.0,15.66,20.13,Offshore,32.67236,-79.70579,One-way Transit,Non-adverse Condition,24.75
2020-12-21 09:10:33,CMA CGM IVANHOE,218844000,17.3,16.4,1148.0,138.0,Post-Panamax,79,121,119,Outbound,2,178,,,,Nearshore,32.69216,-79.7479,One-way Transit,Non-adverse Condition,22.25
2020-12-21 08:01:51,CPO BREMEN,636020326,16.0,15.7,1096.0,141.0,Post-Panamax,71,116,116,Outbound,0,141,,,,Nearshore,32.69315,-79.74923,One-way Transit,Non-adverse Condition,17.62
2020-12-21 21:32:48,CLEMENTINE MAERSK,220164000,15.8,15.3,1138.0,141.0,Post-Panamax,71,301,300,Inbound,1,161,270.0,17.9,24.61,Offshore,32.68865,-79.73886,One-way Transit,Non-adverse Condition,20.12
2020-12-21 07:54:17,MERKUR ARCHIPELAGO,636091883,15.6,14.5,859.0,105.0,Panamax,72,299,302,Inbound,3,150,,,,Nearshore,32.69537,-79.75201,Two-way Transit,Adverse Condition,30.0
2020-12-21 08:43:32,EVER LIVELY,563982000,15.2,14.9,1099.0,151.0,Post-Panamax,74,120,119,Outbound,1,170,,,,Nearshore,32.70571,-79.77497,One-way Transit,Non-adverse Condition,21.25
2020-12-21 19:33:25,YM WITNESS,477524100,15.2,15.0,1207.0,167.0,Post-Panamax,79,300,299,Inbound,1,188,270.0,13.42,22.37,Offshore,32.68976,-79.7413,One-way Transit,Non-adverse Condition,23.5
2020-12-21 20:20:56,THEMIS LEADER,431747000,14.8,14.2,656.0,105.0,Panamax,70,299,298,Inbound,1,116,,,,Nearshore,32.70255,-79.7679,One-way Transit,Non-adverse Condition,11.6
2020-12-21 00:23:16,MAERSK DETROIT,338474000,14.1,13.8,981.0,131.0,Post-Panamax,70,122,118,Outbound,4,199,,,,Nearshore,32.71416,-79.79351,One-way Transit,Non-adverse Condition,24.88
2020-12-20 17:45:58,ST LOUIS EXPRESS,367136680,18.5,16.9,797.0,105.0,Panamax,79,118,121,Outbound,3,147,300.0,11.18,15.66,Offshore,32.679,-79.71857,One-way Transit,Non-adverse Condition,14.7
2020-12-20 01:17:58,CMA CGM IVANHOE,218844000,17.8,17.3,1148.0,138.0,Post-Panamax,79,299,300,Inbound,1,158,90.0,13.42,17.9,Offshore,32.6603,-79.68003,One-way Transit,Non-adverse Condition,19.75
2020-12-20 13:26:52,CMA CGM J. MADISON,215137000,16.2,15.3,1200.0,157.0,Post-Panamax,71,120,119,Outbound,1,178,220.0,11.18,15.66,Offshore,32.68918,-79.73965,One-way Transit,Non-adverse Condition,22.25
2020-12-20 08:22:45,MAERSK DETROIT,338474000,16.1,15.7,981.0,131.0,Post-Panamax,70,299,299,Inbound,0,131,170.0,17.9,24.61,Offshore,32.67926,-79.71969,One-way Transit,Non-adverse Condition,16.38
2020-12-20 16:15:56,OOCL BERLIN,477203100,15.7,14.7,1200.0,157.0,Post-Panamax,70,120,119,Outbound,1,178,300.0,8.95,15.66,Offshore,32.65676,-79.67242,One-way Transit,Non-adverse Condition,22.25
2020-12-20 02:33:40,MOL COURAGE,431296000,15.1,14.7,1036.0,151.0,Post-Panamax,71,120,118,Outbound,2,187,,,,Nearshore,32.69949,-79.7616,One-way Transit,Non-adverse Condition,23.38
2020-12-20 15:27:27,EVER LIVELY,563982000,10.2,7.6,1099.0,151.0,Post-Panamax,74,300,297,Inbound,3,208,310.0,15.66,22.37,Offshore,32.65625,-79.67091,Two-way Transit,Adverse Condition,52.0
